prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,off,0.127,0.177,,11281.126,0.028,0.077,0.129,,11281.374,11281.733,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,29.696,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,sparse_patch_only,off,11281.414,0.220,,11802.714,0.047,0.068,0.097,,23084.251,23084.601,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,30.163,,,,,stop,,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,off,23084.315,0.193,,11956.828,0.048,0.069,0.087,,35041.268,35041.575,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,30.108,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,off,35041.344,0.251,,11884.009,0.053,0.074,0.112,,46925.488,46925.880,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,29.956,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,off,46925.557,0.275,,11761.741,0.055,0.072,0.086,,58687.433,58687.822,,,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,29.077,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,off,58687.506,0.236,,12029.125,0.056,0.099,0.143,,70716.842,70717.250,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,29.761,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,off,70716.912,0.235,,11324.725,0.057,0.096,0.138,,82041.846,82042.247,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,31.171,,,,,stop,,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,off,82041.917,0.071,,12182.535,0.068,0.105,0.119,,94224.679,94224.904,,,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,29.222,,,,,stop,,,,,,
