prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
sparse_single_change_001,sparse-stream-1,sparse_patch_only,off,0.129,0.281,,9274.049,0.051,0.106,0.186,,9274.424,9274.922,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1129,355,1484,38.279,,,,,stop,,,,,,
sparse_filter_width_001,sparse-stream-2,sparse_patch_only,off,9274.471,0.253,,9250.223,0.060,0.116,0.128,,18524.932,18525.351,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1137,355,1492,38.377,,,,,stop,,,,,,
sparse_skip_same_shape_001,sparse-stream-3,sparse_patch_only,off,18525.013,0.209,,9168.087,0.035,0.097,0.119,,27693.291,27693.653,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1138,355,1493,38.721,,,,,stop,,,,,,
sparse_same_value_noop_001,sparse-stream-4,sparse_patch_only,off,27693.356,0.240,,9193.486,0.029,0.107,0.129,,36887.033,36887.433,,,True,True,True,True,True,True,True,0,False,30,0,0.000000,1.000000,0.000000,0.000000,1132,355,1487,38.614,,,,,stop,,,,,,
sparse_exact_multi_block_001,sparse-stream-5,sparse_patch_only,off,36887.102,0.259,,9362.044,0.066,0.121,0.162,,46249.398,46249.851,,,True,True,True,True,True,True,True,0,False,30,3,0.000000,0.900000,0.000000,0.000000,1155,355,1510,37.919,,,,,stop,,,,,,
sparse_dual_env_exact_001,sparse-stream-6,sparse_patch_only,off,46249.468,0.227,,9412.388,0.063,0.113,0.117,,55662.095,55662.467,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1147,355,1502,37.716,,,,,stop,,,,,,
sparse_shape_unison_exact_001,sparse-stream-7,sparse_patch_only,off,55662.155,0.269,,9753.601,0.070,0.115,0.143,,65415.999,65416.438,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1145,354,1499,36.294,,,,,stop,,,,,,
sparse_gain_width_exact_001,sparse-stream-8,sparse_patch_only,off,65416.063,0.075,,9498.651,0.061,0.107,0.132,,74914.960,74915.201,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1149,355,1504,37.374,,,,,stop,,,,,,
