prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,compact_delta,off,0.168,0.186,,3049.430,0.032,0.036,0.056,,3049.681,3049.944,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,680,76,756,24.923,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,compact_delta,off,3049.674,0.185,,13301.406,0.023,0.051,0.067,,16351.164,16351.440,,,True,True,True,True,True,True,True,0,False,16,16,0.000000,0.000000,0.466667,0.466667,682,388,1070,29.170,,,,,stop,,,,,,
latency_pad_complex_001,latency-stream-3,compact_delta,off,16351.221,0.190,,3754.717,0.034,0.036,0.053,,20106.017,20106.279,,,True,True,True,True,True,True,True,0,False,4,4,0.000000,0.000000,0.866667,0.866667,691,108,799,28.764,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,compact_delta,off,20106.073,0.180,,4967.944,0.037,0.043,0.049,,25074.105,25074.355,,,True,True,True,True,True,True,True,0,False,8,8,0.000000,0.000000,0.733333,0.733333,682,143,825,28.785,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,compact_delta,off,25074.164,0.254,,2073.589,0.035,0.032,0.044,,27147.829,27148.146,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,682,61,743,29.418,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,compact_delta,off,27147.892,0.224,,4954.407,0.036,0.049,0.108,,32102.447,32102.796,,,True,True,True,True,True,True,True,0,False,7,7,0.000000,0.000000,0.766667,0.766667,1042,141,1183,28.460,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,compact_delta,off,32102.501,0.228,,12058.637,0.051,0.073,0.126,,44161.313,44161.690,,,True,True,True,True,True,True,True,0,False,18,16,0.000000,0.000000,0.400000,0.466667,1044,347,1391,28.776,,,,,stop,,,,,,
latency_stream_supersede_003,latency-shared-stream,compact_delta,off,44161.359,0.116,,5007.174,0.044,0.047,0.087,,49168.680,49168.901,,,True,True,True,True,True,True,True,0,False,6,5,0.000000,0.000000,0.800000,0.833333,1048,150,1198,29.957,,,,,stop,,,,,,
