prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,compact_delta,off,0.160,0.189,,3006.935,0.030,0.034,0.058,,3007.170,3007.440,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,680,76,756,25.275,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,compact_delta,off,3007.172,0.198,,13367.648,0.023,0.049,0.064,,16374.902,16375.190,,,True,True,True,True,True,True,True,0,False,16,16,0.000000,0.000000,0.466667,0.466667,682,388,1070,29.025,,,,,stop,,,,,,
latency_pad_complex_001,latency-stream-3,compact_delta,off,16374.960,0.169,,3759.119,0.033,0.034,0.049,,20134.154,20134.391,,,True,True,True,True,True,True,True,0,False,4,4,0.000000,0.000000,0.866667,0.866667,691,108,799,28.730,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,compact_delta,off,20134.208,0.267,,4962.602,0.038,0.046,0.081,,25096.902,25097.273,,,True,True,True,True,True,True,True,0,False,8,8,0.000000,0.000000,0.733333,0.733333,682,143,825,28.816,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,compact_delta,off,25096.958,0.270,,2139.472,0.054,0.032,0.051,,27236.524,27236.863,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,682,61,743,28.512,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,compact_delta,off,27236.580,0.222,,5178.023,0.025,0.073,0.105,,32414.769,32415.117,,,True,True,True,True,True,True,True,0,False,7,7,0.000000,0.000000,0.766667,0.766667,1042,141,1183,27.230,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,compact_delta,off,32414.824,0.228,,12243.990,0.057,0.069,0.126,,44658.994,44659.373,,,True,True,True,True,True,True,True,0,False,18,16,0.000000,0.000000,0.400000,0.466667,1044,347,1391,28.340,,,,,stop,,,,,,
latency_stream_supersede_003,latency-shared-stream,compact_delta,off,44659.057,0.189,,5202.116,0.038,0.055,0.088,,49861.318,49861.614,,,True,True,True,True,True,True,True,0,False,6,5,0.000000,0.000000,0.800000,0.833333,1048,150,1198,28.834,,,,,stop,,,,,,
