prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
sparse_single_change_001,sparse-stream-1,sparse_patch_only,off,0.123,0.252,,5787.661,0.033,0.064,0.131,,5787.985,5788.383,,,True,True,True,True,True,True,True,0,False,1,1,0.966667,0.966667,0.000000,0.000000,2850,190,3040,32.828,,,,,stop,,,,,,
sparse_filter_width_001,sparse-stream-2,sparse_patch_only,off,5787.998,0.275,,4907.684,0.041,0.074,0.101,,10695.855,10696.251,,,True,True,True,True,True,True,True,0,False,1,1,0.966667,0.966667,0.000000,0.000000,2858,189,3047,38.511,,,,,stop,,,,,,
sparse_skip_same_shape_001,sparse-stream-3,sparse_patch_only,off,10695.914,0.271,,5028.551,0.043,0.070,0.090,,15724.641,15725.020,,,True,True,True,True,True,True,True,0,False,1,1,0.966667,0.966667,0.000000,0.000000,2859,192,3051,38.182,,,,,stop,,,,,,
sparse_same_value_noop_001,sparse-stream-4,sparse_patch_only,off,15724.705,0.244,,4980.960,0.036,0.062,0.074,,20705.821,20706.156,,,True,True,True,True,True,True,True,0,False,1,0,0.966667,1.000000,0.000000,0.000000,2853,189,3042,37.944,,,,,stop,,,,,,
sparse_exact_multi_block_001,sparse-stream-5,sparse_patch_only,off,20705.879,0.282,,4924.533,0.044,0.076,0.104,,25630.583,25630.989,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2876,191,3067,38.785,,,,,stop,,,,,,
sparse_dual_env_exact_001,sparse-stream-6,sparse_patch_only,off,25630.642,0.244,,5512.130,0.038,0.067,0.114,,31142.937,31143.313,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2868,195,3063,35.377,,,,,stop,,,,,,
sparse_shape_unison_exact_001,sparse-stream-7,sparse_patch_only,off,31142.997,0.300,,5115.012,0.048,0.074,0.098,,36258.186,36258.603,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2866,187,3053,36.559,,,,,stop,,,,,,
sparse_gain_width_exact_001,sparse-stream-8,sparse_patch_only,off,36258.243,0.117,,5320.008,0.047,0.075,0.117,,41578.434,41578.688,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2870,191,3061,35.902,,,,,stop,,,,,,
