prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,compact_delta,off,0.130,0.195,,2969.288,0.038,0.037,0.059,,2969.506,2969.787,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,680,76,756,25.595,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,compact_delta,off,2969.532,,,8363.419,0.042,,,,11333.001,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,682,256,938,30.609,,,,,length,,,,"Invalid JSON: Unterminated string starting at at line 45, column 7.",,
latency_pad_complex_001,latency-stream-3,compact_delta,off,11333.036,0.205,,3549.023,0.032,0.035,0.050,,14882.136,14882.411,,,True,True,True,True,True,True,True,0,False,4,4,0.000000,0.000000,0.866667,0.866667,691,108,799,30.431,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,compact_delta,off,14882.190,0.179,,4786.288,0.034,0.039,0.050,,19668.559,19668.809,,,True,True,True,True,True,True,True,0,False,8,8,0.000000,0.000000,0.733333,0.733333,682,143,825,29.877,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,compact_delta,off,19668.621,0.302,,2061.727,0.034,0.033,0.053,,21730.427,21730.809,,,True,True,True,True,True,True,True,0,False,3,3,0.000000,0.000000,0.900000,0.900000,682,61,743,29.587,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,compact_delta,off,21730.494,0.211,,4872.243,0.035,0.048,0.101,,26602.878,26603.209,,,True,True,True,True,True,True,True,0,False,7,7,0.000000,0.000000,0.766667,0.766667,1042,141,1183,28.939,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,compact_delta,off,26602.935,,,8948.629,0.057,,,,35551.670,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,1044,256,1300,28.608,,,,,length,,,,"Invalid JSON: Unterminated string starting at at line 16, column 14.",,
latency_stream_supersede_003,latency-shared-stream,compact_delta,off,35551.720,0.162,,5024.455,0.039,0.049,0.102,,40576.321,40576.604,,,True,True,True,True,True,True,True,0,False,6,5,0.000000,0.000000,0.800000,0.833333,1048,150,1198,29.854,,,,,stop,,,,,,
