prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,llm,0.140,0.177,0.165,11387.785,0.025,0.107,0.098,3881.345,11388.067,11388.383,15269.992,3881.608,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,29.417,868,96,964,24.734,stop,length,,,,,"Invalid JSON: Unterminated string starting at at line 2, column 18."
latency_bass_dark_001,latency-stream-2,sparse_patch_only,llm,11388.093,0.232,0.170,12372.188,0.027,0.072,0.119,3111.958,23760.389,23760.774,26873.006,3112.231,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,28.774,872,75,947,24.101,stop,stop,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,llm,23760.466,0.288,0.051,12531.864,0.058,0.077,0.081,1736.881,36292.473,36292.870,38029.889,1737.020,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,28.727,889,37,926,21.303,stop,stop,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,llm,36292.540,0.184,0.098,12793.130,0.053,0.074,0.109,1900.100,49085.806,49086.127,50986.662,1900.535,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,27.827,872,42,914,22.104,stop,stop,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,llm,49085.874,0.240,0.150,12075.223,0.059,0.184,0.086,2459.203,61161.348,61161.701,63621.184,2459.483,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,28.322,774,54,828,21.958,stop,stop,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,llm,61161.409,0.251,0.095,12717.149,0.053,0.100,0.178,1254.921,73878.767,73879.226,75134.340,1255.113,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,28.151,1019,22,1041,17.531,stop,stop,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,llm,73878.838,0.254,0.174,11913.477,0.041,0.108,0.161,1773.320,85792.521,85792.962,87566.663,1773.701,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,29.630,998,38,1036,21.429,stop,stop,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,llm,85792.586,0.186,0.049,11996.415,0.041,0.116,0.125,1220.366,97789.208,97789.548,99010.071,1220.523,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,29.676,831,32,863,26.222,stop,stop,,,,,
