prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,off,0.159,0.204,,11368.603,0.040,0.094,0.155,,11368.921,11369.310,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,29.467,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,sparse_patch_only,off,11368.918,0.300,,11861.030,0.047,0.117,0.149,,23230.134,23230.624,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,30.014,,,,,stop,,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,off,23230.234,0.199,,11817.522,0.055,0.096,0.105,,35047.998,35048.358,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,30.463,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,off,35048.091,0.182,,12014.165,0.052,0.069,0.096,,47062.387,47062.692,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,29.632,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,off,47062.448,0.226,,11826.432,0.050,0.064,0.068,,58889.003,58889.321,,,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,28.918,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,off,58889.060,0.289,,12455.139,0.106,0.165,0.289,,71344.525,71345.134,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,28.743,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,off,71344.595,0.287,,11827.012,0.042,0.112,0.138,,83171.823,83172.275,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,29.847,,,,,stop,,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,off,83171.888,0.131,,11644.720,0.075,0.110,0.154,,94816.844,94817.161,,,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,30.572,,,,,stop,,,,,,
