prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
sparse_single_change_001,sparse-stream-1,sparse_patch_only,off,0.149,0.290,,5621.319,0.063,0.072,0.130,,5621.721,5622.162,,,True,True,True,True,True,True,True,0,False,1,1,0.966667,0.966667,0.000000,0.000000,2269,190,2459,33.800,,,,,stop,,,,,,
sparse_filter_width_001,sparse-stream-2,sparse_patch_only,off,5621.736,0.290,,4709.366,0.040,0.071,0.087,,10331.274,10331.670,,,True,True,True,True,True,True,True,0,False,1,1,0.966667,0.966667,0.000000,0.000000,2277,189,2466,40.133,,,,,stop,,,,,,
sparse_skip_same_shape_001,sparse-stream-3,sparse_patch_only,off,10331.328,0.302,,5442.922,0.058,0.107,0.136,,15774.494,15774.961,,,True,True,True,True,True,True,True,0,False,14,2,0.533333,0.933333,0.000000,0.000000,2278,216,2494,39.685,,,,,stop,,,,,,
sparse_same_value_noop_001,sparse-stream-4,sparse_patch_only,off,15774.564,0.242,,4826.159,0.035,0.061,0.078,,20600.894,20601.230,,,True,True,True,True,True,True,True,0,False,1,0,0.966667,1.000000,0.000000,0.000000,2272,189,2461,39.162,,,,,stop,,,,,,
sparse_exact_multi_block_001,sparse-stream-5,sparse_patch_only,off,20600.945,0.261,,4982.095,0.043,0.071,0.111,,25583.209,25583.600,,,True,True,True,True,True,True,True,0,False,3,3,0.900000,0.900000,0.000000,0.000000,2295,191,2486,38.337,,,,,stop,,,,,,
sparse_dual_env_exact_001,sparse-stream-6,sparse_patch_only,off,25583.249,0.238,,5196.677,0.037,0.066,0.087,,30780.093,30780.435,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2287,195,2482,37.524,,,,,stop,,,,,,
sparse_shape_unison_exact_001,sparse-stream-7,sparse_patch_only,off,30780.142,0.265,,5067.488,0.128,0.088,0.101,,35847.903,35848.289,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2285,187,2472,36.902,,,,,stop,,,,,,
sparse_gain_width_exact_001,sparse-stream-8,sparse_patch_only,off,35847.958,0.124,,5233.616,0.043,0.065,0.085,,41081.745,41081.971,,,True,True,True,True,True,True,True,0,False,2,2,0.933333,0.933333,0.000000,0.000000,2289,191,2480,36.495,,,,,stop,,,,,,
