prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
numeric_pressure_cutoff_001,numeric-stream-1,sparse_patch_only,off,0.193,0.182,,9673.849,0.052,0.063,0.057,,9674.171,9674.436,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,785,284,1069,29.357,,,,,stop,,,,filter.cutoff-hz is above maximum 20000.0: received 50000.0. | filter.resonance is above maximum 10.0: received 30.0.,,
numeric_pressure_underflow_001,numeric-stream-2,sparse_patch_only,off,9674.185,0.230,,8969.614,0.049,0.076,0.052,,18643.933,18644.241,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,784,283,1067,31.551,,,,,stop,,,,effects.stereo-width is below minimum 0.0: received -1.0. | effects.output-gain-db is below minimum -24.0: received -80.0.,,
numeric_pressure_integer_001,numeric-stream-3,sparse_patch_only,off,18643.999,0.220,,8783.184,0.045,0.139,0.070,,27427.375,27427.685,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,791,278,1069,31.651,,,,,stop,,,,oscillator-1.octave is above maximum 3: received 9. | oscillator-1.unison-voices is above maximum 8: received 99.,,
numeric_pressure_negative_frequency_001,numeric-stream-4,sparse_patch_only,off,27427.430,0.206,,9017.966,0.044,0.056,0.042,,36445.504,36445.770,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,787,282,1069,31.271,,,,,stop,,,,filter.cutoff-hz is below minimum 20.0: received -200.0. | envelope.release-ms is below minimum 1.0: received -50.0.,,
numeric_pressure_drive_overflow_001,numeric-stream-5,sparse_patch_only,off,36445.554,0.230,,9244.403,0.056,0.065,0.146,,45690.086,45690.489,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,785,276,1061,29.856,,,,,stop,,,,filter.drive is above maximum 1.0: received 5.0. | effects.delay-mix is above maximum 1.0: received 2.0. | effects.distortion-drive is above maximum 1.0: received 4.0.,,
numeric_pressure_wrong_enum_type_001,numeric-stream-6,sparse_patch_only,off,45690.149,0.189,,9411.070,0.044,0.054,0.040,,55101.324,55101.572,,,True,True,True,True,True,True,True,0,False,3,3,0.900000,0.900000,0.000000,0.000000,790,278,1068,29.540,,,,,stop,,,,,,
numeric_pressure_mixed_bounds_001,numeric-stream-7,sparse_patch_only,off,55101.381,0.102,,9149.275,0.036,0.061,0.061,,64250.761,64250.942,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,788,277,1065,30.276,,,,,stop,,,,filter.keytrack is above maximum 1.0: received 9.0. | filter.env-amount is below minimum -1.0: received -7.0. | effects.stereo-width is above maximum 2.0: received 20.0.,,
