prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
numeric_pressure_cutoff_001,numeric-stream-1,sparse_patch_only,off,0.108,,,14898.655,0.001,,,,14898.774,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,36,640,676,42.957,,,,,length,,,,Empty model output.,,
numeric_pressure_underflow_001,numeric-stream-2,sparse_patch_only,off,14898.778,,,14571.540,0.001,,,,29470.328,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,33,640,673,43.921,,,,,length,,,,Empty model output.,,
numeric_pressure_integer_001,numeric-stream-3,sparse_patch_only,off,29470.364,,,14628.054,0.001,,,,44098.429,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,42,640,682,43.752,,,,,length,,,,Empty model output.,,
numeric_pressure_negative_frequency_001,numeric-stream-4,sparse_patch_only,off,44098.473,,,14840.149,0.001,,,,58938.633,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,37,640,677,43.126,,,,,length,,,,Empty model output.,,
numeric_pressure_drive_overflow_001,numeric-stream-5,sparse_patch_only,off,58938.671,,,14848.946,0.001,,,,73787.626,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,34,640,674,43.101,,,,,length,,,,Empty model output.,,
numeric_pressure_wrong_enum_type_001,numeric-stream-6,sparse_patch_only,off,73787.664,,,14820.485,0.001,,,,88608.159,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,42,640,682,43.183,,,,,length,,,,Empty model output.,,
numeric_pressure_mixed_bounds_001,numeric-stream-7,sparse_patch_only,off,88608.196,,,14861.150,0.001,,,,103469.356,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,37,640,677,43.065,,,,,length,,,,Empty model output.,,
