prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
sparse_single_change_001,sparse-stream-1,sparse_patch_only,off,0.184,0.260,,9292.760,0.045,0.126,0.127,,9293.203,9293.618,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1129,355,1484,38.202,,,,,stop,,,,,,
sparse_filter_width_001,sparse-stream-2,sparse_patch_only,off,9293.210,0.227,,9209.231,0.052,0.099,0.121,,18502.671,18503.047,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1137,355,1492,38.548,,,,,stop,,,,,,
sparse_skip_same_shape_001,sparse-stream-3,sparse_patch_only,off,18502.731,0.274,,9016.651,0.056,0.250,0.133,,27519.742,27520.199,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1138,355,1493,39.372,,,,,stop,,,,,,
sparse_same_value_noop_001,sparse-stream-4,sparse_patch_only,off,27519.838,0.219,,9116.578,0.048,0.112,0.121,,36636.639,36637.008,,,True,True,True,True,True,True,True,0,False,30,0,0.000000,1.000000,0.000000,0.000000,1132,355,1487,38.940,,,,,stop,,,,,,
sparse_exact_multi_block_001,sparse-stream-5,sparse_patch_only,off,36636.703,0.232,,9178.744,0.056,0.092,0.117,,45815.650,45816.029,,,True,True,True,True,True,True,True,0,False,30,3,0.000000,0.900000,0.000000,0.000000,1155,355,1510,38.676,,,,,stop,,,,,,
sparse_dual_env_exact_001,sparse-stream-6,sparse_patch_only,off,45815.716,0.320,,9523.776,0.056,0.100,0.178,,55339.699,55340.225,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1147,355,1502,37.275,,,,,stop,,,,,,
sparse_shape_unison_exact_001,sparse-stream-7,sparse_patch_only,off,55339.783,0.233,,9545.376,0.054,0.093,0.116,,64885.380,64885.754,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1145,354,1499,37.086,,,,,stop,,,,,,
sparse_gain_width_exact_001,sparse-stream-8,sparse_patch_only,off,64885.450,0.158,,9447.093,0.055,0.092,0.164,,74332.745,74333.092,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1149,355,1504,37.578,,,,,stop,,,,,,
