prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,off,0.156,0.355,,11239.274,0.027,0.071,0.138,,11239.545,11240.083,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,29.806,,,,,stop,,,,,,
latency_bass_dark_001,latency-stream-2,sparse_patch_only,off,11239.575,0.226,,11583.657,0.052,0.170,0.094,,22823.462,22823.819,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,30.733,,,,,stop,,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,off,22823.532,0.202,,11599.162,0.055,0.072,0.089,,34422.830,34423.150,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,31.037,,,,,stop,,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,off,34422.900,0.175,,11695.027,0.065,0.069,0.095,,46118.070,46118.385,,,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,30.440,,,,,stop,,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,off,46118.154,0.186,,11324.905,0.052,0.062,0.079,,57443.181,57443.470,,,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,30.199,,,,,stop,,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,off,57443.241,0.265,,12235.729,0.063,0.096,0.139,,69679.179,69679.611,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,29.259,,,,,stop,,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,off,69679.251,0.246,,11737.363,0.061,0.100,0.141,,81416.846,81417.261,,,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,30.075,,,,,stop,,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,off,81416.906,0.119,,11563.370,0.056,0.106,0.124,,92980.496,92980.765,,,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,30.787,,,,,stop,,,,,,
