prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,llm,0.146,0.170,0.157,11683.434,0.026,0.074,0.105,3985.795,11683.691,11684.001,15670.041,3986.040,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,28.673,868,96,964,24.086,stop,length,,,,,"Invalid JSON: Unterminated string starting at at line 2, column 18."
latency_bass_dark_001,latency-stream-2,sparse_patch_only,llm,11683.699,0.628,0.097,12636.375,0.046,0.070,0.087,3061.911,24320.198,24320.943,27383.049,3062.106,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,28.173,872,75,947,24.495,stop,stop,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,llm,24320.263,0.168,0.204,12665.412,0.047,0.075,0.090,1771.640,36985.813,36986.103,38758.034,1771.931,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,28.424,889,37,926,20.885,stop,stop,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,llm,36985.884,0.302,0.048,12395.721,0.047,0.071,0.094,1865.258,49381.730,49382.154,51247.649,1865.495,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,28.720,872,42,914,22.517,stop,stop,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,llm,49381.839,0.220,0.161,11900.453,0.049,0.068,0.075,2474.415,61282.417,61282.755,63757.409,2474.653,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,28.738,774,54,828,21.823,stop,stop,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,llm,61282.495,0.239,0.158,12831.567,0.051,0.097,0.125,1228.193,74114.263,74114.654,75343.099,1228.446,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,27.900,1019,22,1041,17.912,stop,stop,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,llm,74114.329,0.227,0.137,12184.449,0.054,0.092,0.128,1803.816,86298.982,86299.362,88103.547,1804.186,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,28.971,998,38,1036,21.066,stop,stop,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,llm,86299.047,0.210,0.060,12545.205,0.057,0.116,0.134,1227.316,98844.476,98844.846,100072.331,1227.485,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,28.377,831,32,863,26.073,stop,stop,,,,,
