prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,llm,0.193,0.195,0.142,11265.586,0.026,0.078,0.100,3872.390,11265.893,11266.222,15138.845,3872.623,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,29.737,868,96,964,24.791,stop,length,,,,,"Invalid JSON: Unterminated string starting at at line 2, column 18."
latency_bass_dark_001,latency-stream-2,sparse_patch_only,llm,11265.913,0.226,0.178,12208.282,0.054,0.075,0.094,3124.028,23474.333,23474.691,26599.005,3124.314,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,29.161,872,75,947,24.007,stop,stop,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,llm,23474.410,0.195,0.142,12468.045,0.050,0.073,0.090,1718.429,35942.586,35942.898,37661.576,1718.678,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,28.874,889,37,926,21.531,stop,stop,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,llm,35942.656,0.201,0.165,12156.992,0.064,0.076,0.098,1907.762,48099.796,48100.123,50008.262,1908.139,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,29.284,872,42,914,22.015,stop,stop,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,llm,48099.865,0.255,0.100,11696.906,0.053,0.066,0.095,2463.426,59796.899,59797.274,62260.897,2463.624,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,29.239,774,54,828,21.921,stop,stop,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,llm,59796.964,0.292,0.063,12651.883,0.058,0.099,0.151,1207.578,72449.057,72449.529,73657.274,1207.746,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,28.296,1019,22,1041,18.218,stop,stop,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,llm,72449.129,0.217,0.140,12591.423,0.053,0.090,0.126,1796.619,85040.750,85041.119,86838.091,1796.972,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,28.035,998,38,1036,21.151,stop,stop,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,llm,85040.807,0.184,0.046,12624.202,0.060,0.092,0.116,1260.694,97665.213,97665.539,98926.387,1260.848,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,28.200,831,32,863,25.383,stop,stop,,,,,
