prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
latency_patch_only_001,latency-stream-1,sparse_patch_only,llm,0.208,0.232,0.178,11133.418,0.026,0.097,0.275,3851.810,11133.763,11134.330,14986.433,3852.104,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,776,335,1111,30.090,868,96,964,24.923,stop,length,,,,,"Invalid JSON: Unterminated string starting at at line 2, column 18."
latency_bass_dark_001,latency-stream-2,sparse_patch_only,llm,11133.758,0.199,0.167,12242.187,0.048,0.070,0.101,3056.590,23376.071,23376.401,26433.254,3056.852,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,29.080,872,75,947,24.537,stop,stop,,,,,
latency_pad_complex_001,latency-stream-3,sparse_patch_only,llm,23376.134,0.207,0.108,12291.724,0.051,0.072,0.109,1722.351,35667.990,35668.334,37390.884,1722.550,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,787,360,1147,29.288,889,37,926,21.482,stop,stop,,,,,
latency_perc_tight_001,latency-stream-4,sparse_patch_only,llm,35668.053,0.190,0.210,12547.105,0.048,0.069,0.094,1847.977,48215.283,48215.593,50064.079,1848.486,True,True,True,True,True,True,True,0,False,30,30,0.000000,0.000000,0.000000,0.000000,778,356,1134,28.373,872,42,914,22.728,stop,stop,,,,,
latency_space_only_001,latency-stream-5,sparse_patch_only,llm,48215.344,0.256,0.056,11632.879,0.053,0.066,0.093,2511.152,59848.350,59848.724,62360.016,2511.292,True,True,True,True,True,True,True,0,False,24,24,0.200000,0.200000,0.000000,0.000000,778,342,1120,29.399,774,54,828,21.504,stop,stop,,,,,
latency_stream_supersede_001,latency-shared-stream,sparse_patch_only,llm,59848.420,0.218,0.161,12853.603,0.050,0.090,0.153,1199.003,72702.223,72702.620,73901.876,1199.256,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1138,358,1496,27.852,1019,22,1041,18.349,stop,stop,,,,,
latency_stream_supersede_002,latency-shared-stream,sparse_patch_only,llm,72702.279,0.228,0.042,12532.004,0.059,0.090,0.127,1785.628,85234.480,85234.863,87020.768,1785.905,True,True,True,True,True,True,True,0,False,30,15,0.000000,0.500000,0.000000,0.000000,1140,353,1493,28.168,998,38,1036,21.281,stop,stop,,,,,
latency_stream_supersede_003,latency-shared-stream,sparse_patch_only,llm,85234.542,0.098,0.073,12704.494,0.066,0.096,0.131,1245.345,97939.249,97939.504,99185.020,1245.515,True,True,True,True,True,True,True,0,False,30,4,0.000000,0.866667,0.000000,0.000000,1144,356,1500,28.022,831,32,863,25.696,stop,stop,,,,,
