prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
numeric_pressure_cutoff_001,numeric-stream-1,sparse_patch_only,off,0.107,0.239,,9653.470,0.048,0.117,0.102,,9653.759,9654.130,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,785,284,1069,29.419,,,,,stop,,,,filter.cutoff-hz is above maximum 20000.0: received 50000.0. | filter.resonance is above maximum 10.0: received 30.0.,,
numeric_pressure_underflow_001,numeric-stream-2,sparse_patch_only,off,9653.801,0.462,,9228.336,0.044,0.068,0.060,,18882.255,18882.799,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,784,283,1067,30.666,,,,,stop,,,,effects.stereo-width is below minimum 0.0: received -1.0. | effects.output-gain-db is below minimum -24.0: received -80.0.,,
numeric_pressure_integer_001,numeric-stream-3,sparse_patch_only,off,18882.314,0.209,,9120.431,0.043,0.052,0.056,,28002.849,28003.132,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,791,278,1069,30.481,,,,,stop,,,,oscillator-1.octave is above maximum 3: received 9. | oscillator-1.unison-voices is above maximum 8: received 99.,,
numeric_pressure_negative_frequency_001,numeric-stream-4,sparse_patch_only,off,28002.908,0.177,,9368.114,0.050,0.060,0.041,,37371.139,37371.378,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,787,282,1069,30.102,,,,,stop,,,,filter.cutoff-hz is below minimum 20.0: received -200.0. | envelope.release-ms is below minimum 1.0: received -50.0.,,
numeric_pressure_drive_overflow_001,numeric-stream-5,sparse_patch_only,off,37371.195,0.192,,9216.325,0.052,0.066,0.052,,46587.646,46587.910,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,785,276,1061,29.947,,,,,stop,,,,filter.drive is above maximum 1.0: received 5.0. | effects.delay-mix is above maximum 1.0: received 2.0. | effects.distortion-drive is above maximum 1.0: received 4.0.,,
numeric_pressure_wrong_enum_type_001,numeric-stream-6,sparse_patch_only,off,46587.709,0.204,,9467.636,0.051,0.058,0.048,,56055.462,56055.735,,,True,True,True,True,True,True,True,0,False,3,3,0.900000,0.900000,0.000000,0.000000,790,278,1068,29.363,,,,,stop,,,,,,
numeric_pressure_mixed_bounds_001,numeric-stream-7,sparse_patch_only,off,56055.530,0.122,,9605.887,0.056,0.090,0.053,,65661.572,65661.766,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,788,277,1065,28.836,,,,,stop,,,,filter.keytrack is above maximum 1.0: received 9.0. | filter.env-amount is below minimum -1.0: received -7.0. | effects.stereo-width is above maximum 2.0: received 20.0.,,
