prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
numeric_pressure_cutoff_001,numeric-stream-1,sparse_patch_only,off,0.101,0.306,,9560.973,0.062,0.065,0.086,,9561.220,9561.639,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,785,284,1069,29.704,,,,,stop,,,,filter.cutoff-hz is above maximum 20000.0: received 50000.0. | filter.resonance is above maximum 10.0: received 30.0.,,
numeric_pressure_underflow_001,numeric-stream-2,sparse_patch_only,off,9561.248,0.191,,9161.875,0.043,0.068,0.049,,18723.242,18723.503,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,784,283,1067,30.889,,,,,stop,,,,effects.stereo-width is below minimum 0.0: received -1.0. | effects.output-gain-db is below minimum -24.0: received -80.0.,,
numeric_pressure_integer_001,numeric-stream-3,sparse_patch_only,off,18723.291,0.225,,9141.304,0.047,0.059,0.103,,27864.710,27865.058,,,True,True,True,False,True,True,True,2,True,3,3,0.900000,0.900000,0.000000,0.000000,791,278,1069,30.411,,,,,stop,,,,oscillator-1.octave is above maximum 3: received 9. | oscillator-1.unison-voices is above maximum 8: received 99.,,
numeric_pressure_negative_frequency_001,numeric-stream-4,sparse_patch_only,off,27864.772,0.208,,9370.711,0.044,0.056,0.075,,37235.591,37235.892,,,True,True,True,False,True,True,True,2,True,2,2,0.933333,0.933333,0.000000,0.000000,787,282,1069,30.094,,,,,stop,,,,filter.cutoff-hz is below minimum 20.0: received -200.0. | envelope.release-ms is below minimum 1.0: received -50.0.,,
numeric_pressure_drive_overflow_001,numeric-stream-5,sparse_patch_only,off,37235.644,0.172,,9076.418,0.044,0.060,0.047,,46312.174,46312.411,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,785,276,1061,30.408,,,,,stop,,,,filter.drive is above maximum 1.0: received 5.0. | effects.delay-mix is above maximum 1.0: received 2.0. | effects.distortion-drive is above maximum 1.0: received 4.0.,,
numeric_pressure_wrong_enum_type_001,numeric-stream-6,sparse_patch_only,off,46312.237,0.160,,8842.675,0.045,0.053,0.052,,55155.019,55155.250,,,True,True,True,True,True,True,True,0,False,3,3,0.900000,0.900000,0.000000,0.000000,790,278,1068,31.438,,,,,stop,,,,,,
numeric_pressure_mixed_bounds_001,numeric-stream-7,sparse_patch_only,off,55155.074,0.160,,9446.023,0.051,0.065,0.061,,64601.220,64601.462,,,True,True,True,False,True,True,True,3,True,3,3,0.900000,0.900000,0.000000,0.000000,788,277,1065,29.325,,,,,stop,,,,filter.keytrack is above maximum 1.0: received 9.0. | filter.env-amount is below minimum -1.0: received -7.0. | effects.stereo-width is above maximum 2.0: received 20.0.,,
