prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
sparse_single_change_001,sparse-stream-1,sparse_patch_only,off,0.136,0.253,,9315.431,0.055,0.101,0.129,,9315.800,9316.214,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1129,355,1484,38.109,,,,,stop,,,,,,
sparse_filter_width_001,sparse-stream-2,sparse_patch_only,off,9315.829,0.265,,8855.993,0.060,0.133,0.138,,18172.076,18172.512,,,True,True,True,True,True,True,True,0,False,30,1,0.000000,0.966667,0.000000,0.000000,1137,355,1492,40.086,,,,,stop,,,,,,
sparse_skip_same_shape_001,sparse-stream-3,sparse_patch_only,off,18172.141,0.238,,8984.481,0.065,0.107,0.130,,27156.863,27157.269,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1138,355,1493,39.513,,,,,stop,,,,,,
sparse_same_value_noop_001,sparse-stream-4,sparse_patch_only,off,27156.935,0.302,,8878.251,0.054,0.107,0.160,,36035.405,36035.898,,,True,True,True,True,True,True,True,0,False,30,0,0.000000,1.000000,0.000000,0.000000,1132,355,1487,39.985,,,,,stop,,,,,,
sparse_exact_multi_block_001,sparse-stream-5,sparse_patch_only,off,36035.482,0.245,,8985.134,0.053,0.093,0.116,,45020.833,45021.219,,,True,True,True,True,True,True,True,0,False,30,3,0.000000,0.900000,0.000000,0.000000,1155,355,1510,39.510,,,,,stop,,,,,,
sparse_dual_env_exact_001,sparse-stream-6,sparse_patch_only,off,45020.899,0.260,,8999.216,0.073,0.113,0.142,,54020.355,54020.788,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1147,355,1502,39.448,,,,,stop,,,,,,
sparse_shape_unison_exact_001,sparse-stream-7,sparse_patch_only,off,54020.431,0.225,,9609.831,0.054,0.095,0.121,,63630.473,63630.858,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1145,354,1499,36.837,,,,,stop,,,,,,
sparse_gain_width_exact_001,sparse-stream-8,sparse_patch_only,off,63630.547,0.129,,9728.093,0.063,0.096,0.175,,73358.855,73359.185,,,True,True,True,True,True,True,True,0,False,30,2,0.000000,0.933333,0.000000,0.000000,1149,355,1504,36.492,,,,,stop,,,,,,
