prompt_id,stream_id,patch_contract,explanation_mode,patch_queue_wait_ms,apply_queue_wait_ms,explanation_queue_wait_ms,patch_latency_ms,patch_parse_latency_ms,patch_validation_latency_ms,apply_latency_ms,explanation_latency_ms,patch_ready_ms,patch_applied_ms,explanation_ready_ms,ui_gap_ms,raw_syntax_pass,raw_schema_pass,raw_key_order_pass,raw_range_pass,raw_semantic_pass,apply_success,patch_pipeline_pass,clamp_event_count,clamp_intervention,raw_changed_param_count,sanitized_changed_param_count,raw_null_ratio,sanitized_null_ratio,raw_omitted_ratio,sanitized_omitted_ratio,patch_prompt_tokens,patch_completion_tokens,patch_total_tokens,patch_tokens_per_second,explanation_prompt_tokens,explanation_completion_tokens,explanation_total_tokens,explanation_tokens_per_second,patch_finish_reason,explanation_finish_reason,patch_generation_error,explanation_generation_error,raw_validation_errors,apply_errors,explanation_errors
numeric_pressure_cutoff_001,numeric-stream-1,sparse_patch_only,off,0.119,,,15593.308,0.002,,,,15593.470,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,36,640,676,41.043,,,,,length,,,,Empty model output.,,
numeric_pressure_underflow_001,numeric-stream-2,sparse_patch_only,off,15593.470,,,14549.789,0.002,,,,30143.269,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,33,640,673,43.987,,,,,length,,,,Empty model output.,,
numeric_pressure_integer_001,numeric-stream-3,sparse_patch_only,off,30143.299,,,14448.125,0.002,,,,44591.435,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,42,640,682,44.296,,,,,length,,,,Empty model output.,,
numeric_pressure_negative_frequency_001,numeric-stream-4,sparse_patch_only,off,44591.476,,,14487.219,0.001,,,,59078.705,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,37,640,677,44.177,,,,,length,,,,Empty model output.,,
numeric_pressure_drive_overflow_001,numeric-stream-5,sparse_patch_only,off,59078.737,,,14661.346,0.001,,,,73740.092,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,34,640,674,43.652,,,,,length,,,,Empty model output.,,
numeric_pressure_wrong_enum_type_001,numeric-stream-6,sparse_patch_only,off,73740.131,,,14701.567,0.001,,,,88441.708,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,42,640,682,43.533,,,,,length,,,,Empty model output.,,
numeric_pressure_mixed_bounds_001,numeric-stream-7,sparse_patch_only,off,88441.745,,,14579.603,0.002,,,,103021.359,,,,False,False,False,False,False,False,False,0,False,0,0,,,,,37,640,677,43.897,,,,,length,,,,Empty model output.,,
