prompt_id,latency_ms,parse_latency_ms,validation_latency_ms,sparse_latency_ms,syntax_pass,schema_pass,range_pass,key_order_pass,explanation_pass,sparse_pass,overall_pass,changed_param_count,null_param_count,null_ratio,changed_block_count,all_null_noop,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,finish_reason,generation_error,validation_errors
latency_patch_only_001,10539.750,0.023,0.035,0.026,True,True,True,True,True,True,True,6,24,0.800000,3,False,1059,315,1374,29.887,stop,,
latency_bass_dark_001,11788.551,0.023,0.036,0.014,True,True,True,True,True,True,True,19,11,0.366667,4,False,1061,366,1427,31.047,stop,,
latency_pad_complex_001,11988.531,0.043,0.095,0.033,True,True,True,True,True,True,True,24,6,0.200000,5,False,1070,371,1441,30.946,stop,,
latency_perc_tight_001,9848.871,0.048,0.031,0.014,True,True,True,True,True,True,True,4,26,0.866667,1,False,1061,309,1370,31.374,stop,,
latency_space_only_001,9648.388,0.021,0.032,0.012,True,True,True,True,True,True,True,2,28,0.933333,1,False,1061,300,1361,31.093,stop,,
latency_stream_supersede_001,10787.331,0.024,0.035,0.028,True,True,True,True,True,True,True,12,18,0.600000,5,False,1057,336,1393,31.148,stop,,
latency_stream_supersede_002,10435.605,0.021,0.032,0.014,True,True,True,True,True,True,True,6,24,0.800000,3,False,1059,322,1381,30.856,stop,,
latency_stream_supersede_003,9916.082,0.043,0.032,0.028,True,True,True,True,True,True,True,7,23,0.766667,3,False,1063,310,1373,31.262,stop,,
