prompt_id,latency_ms,parse_latency_ms,validation_latency_ms,sparse_latency_ms,syntax_pass,schema_pass,range_pass,key_order_pass,explanation_pass,sparse_pass,overall_pass,changed_param_count,null_param_count,null_ratio,changed_block_count,all_null_noop,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,finish_reason,generation_error,validation_errors
full_design_pad_001,10102.135,0.127,0.094,0.035,True,True,True,True,True,True,True,30,0,0.000000,5,False,1063,372,1435,36.824,stop,,
full_design_bass_001,11659.998,0.024,0.039,0.015,True,True,True,True,True,True,True,24,6,0.200000,4,False,1063,455,1518,39.022,stop,,
sparse_brighter_001,9783.274,0.058,0.040,0.026,True,True,True,True,True,False,False,30,0,0.000000,5,False,1419,375,1794,38.331,stop,,Sparse update returned no null no-op parameters even though current_patch_context was provided. | oscillator-1.shape matches current_patch_context and should be null in a sparse patch. | oscillator-1.octave matches current_patch_context and should be null in a sparse patch. | oscillator-1.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-1.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-1.level matches current_patch_context and should be null in a sparse patch. | oscillator-1.unison-voices matches current_patch_context and should be null in a sparse patch. | oscillator-2.shape matches current_patch_context and should be null in a sparse patch. | oscillator-2.octave matches current_patch_context and should be null in a sparse patch. | oscillator-2.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-2.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-2.level matches current_patch_context and should be null in a sparse patch. | oscillator-2.sync-mode matches current_patch_context and should be null in a sparse patch. | filter.mode matches current_patch_context and should be null in a sparse patch. | filter.drive matches current_patch_context and should be null in a sparse patch. | filter.keytrack matches current_patch_context and should be null in a sparse patch. | filter.env-amount matches current_patch_context and should be null in a sparse patch. | filter.slope-db-per-oct matches current_patch_context and should be null in a sparse patch. | envelope.attack-ms matches current_patch_context and should be null in a sparse patch. | envelope.decay-ms matches current_patch_context and should be null in a sparse patch. | envelope.sustain matches current_patch_context and should be null in a sparse patch. | envelope.release-ms matches current_patch_context and should be null in a sparse patch. | envelope.velocity-amount matches current_patch_context and should be null in a sparse patch. | effects.reverb-mix matches current_patch_context and should be null in a sparse patch. | effects.delay-mix matches current_patch_context and should be null in a sparse patch. | effects.chorus-mix matches current_patch_context and should be null in a sparse patch. | effects.stereo-width matches current_patch_context and should be null in a sparse patch. | effects.output-gain-db matches current_patch_context and should be null in a sparse patch. | effects.distortion-drive matches current_patch_context and should be null in a sparse patch.
sparse_attack_001,9637.578,0.052,0.056,0.040,True,True,True,True,True,False,False,30,0,0.000000,5,False,1425,375,1800,38.910,stop,,Sparse update returned no null no-op parameters even though current_patch_context was provided. | oscillator-1.shape matches current_patch_context and should be null in a sparse patch. | oscillator-1.octave matches current_patch_context and should be null in a sparse patch. | oscillator-1.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-1.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-1.level matches current_patch_context and should be null in a sparse patch. | oscillator-1.unison-voices matches current_patch_context and should be null in a sparse patch. | oscillator-2.shape matches current_patch_context and should be null in a sparse patch. | oscillator-2.octave matches current_patch_context and should be null in a sparse patch. | oscillator-2.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-2.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-2.level matches current_patch_context and should be null in a sparse patch. | oscillator-2.sync-mode matches current_patch_context and should be null in a sparse patch. | filter.mode matches current_patch_context and should be null in a sparse patch. | filter.cutoff-hz matches current_patch_context and should be null in a sparse patch. | filter.resonance matches current_patch_context and should be null in a sparse patch. | filter.drive matches current_patch_context and should be null in a sparse patch. | filter.keytrack matches current_patch_context and should be null in a sparse patch. | filter.env-amount matches current_patch_context and should be null in a sparse patch. | filter.slope-db-per-oct matches current_patch_context and should be null in a sparse patch. | envelope.decay-ms matches current_patch_context and should be null in a sparse patch. | envelope.sustain matches current_patch_context and should be null in a sparse patch. | envelope.release-ms matches current_patch_context and should be null in a sparse patch. | envelope.velocity-amount matches current_patch_context and should be null in a sparse patch. | effects.reverb-mix matches current_patch_context and should be null in a sparse patch. | effects.delay-mix matches current_patch_context and should be null in a sparse patch. | effects.chorus-mix matches current_patch_context and should be null in a sparse patch. | effects.stereo-width matches current_patch_context and should be null in a sparse patch. | effects.output-gain-db matches current_patch_context and should be null in a sparse patch. | effects.distortion-drive matches current_patch_context and should be null in a sparse patch.
sparse_space_001,10032.271,0.037,0.037,0.024,True,True,True,True,True,False,False,30,0,0.000000,5,False,1425,383,1808,38.177,stop,,Sparse update returned no null no-op parameters even though current_patch_context was provided. | oscillator-1.shape matches current_patch_context and should be null in a sparse patch. | oscillator-1.octave matches current_patch_context and should be null in a sparse patch. | oscillator-1.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-1.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-1.level matches current_patch_context and should be null in a sparse patch. | oscillator-1.unison-voices matches current_patch_context and should be null in a sparse patch. | oscillator-2.shape matches current_patch_context and should be null in a sparse patch. | oscillator-2.octave matches current_patch_context and should be null in a sparse patch. | oscillator-2.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-2.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-2.level matches current_patch_context and should be null in a sparse patch. | oscillator-2.sync-mode matches current_patch_context and should be null in a sparse patch. | filter.mode matches current_patch_context and should be null in a sparse patch. | filter.cutoff-hz matches current_patch_context and should be null in a sparse patch. | filter.resonance matches current_patch_context and should be null in a sparse patch. | filter.drive matches current_patch_context and should be null in a sparse patch. | filter.keytrack matches current_patch_context and should be null in a sparse patch. | filter.env-amount matches current_patch_context and should be null in a sparse patch. | filter.slope-db-per-oct matches current_patch_context and should be null in a sparse patch. | envelope.attack-ms matches current_patch_context and should be null in a sparse patch. | envelope.decay-ms matches current_patch_context and should be null in a sparse patch. | envelope.sustain matches current_patch_context and should be null in a sparse patch. | envelope.release-ms matches current_patch_context and should be null in a sparse patch. | envelope.velocity-amount matches current_patch_context and should be null in a sparse patch. | effects.output-gain-db matches current_patch_context and should be null in a sparse patch. | effects.distortion-drive matches current_patch_context and should be null in a sparse patch.
