prompt_id,latency_ms,parse_latency_ms,validation_latency_ms,sparse_latency_ms,syntax_pass,schema_pass,range_pass,key_order_pass,explanation_pass,sparse_pass,overall_pass,changed_param_count,null_param_count,null_ratio,changed_block_count,all_null_noop,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,finish_reason,generation_error,validation_errors
adv_markdown_001,8023.754,0.036,0.036,0.014,True,True,True,True,True,True,True,3,27,0.900000,2,False,1066,291,1357,36.267,stop,,
adv_extra_keys_001,10954.306,0.025,0.043,0.016,True,True,True,True,True,True,True,30,0,0.000000,5,False,1072,416,1488,37.976,stop,,
adv_numeric_pressure_001,11034.343,0.024,0.063,0.014,True,True,False,True,True,True,False,30,0,0.000000,5,False,1095,412,1507,37.338,stop,,filter.cutoff-hz is above maximum 20000.0: received 50000.0. | envelope.attack-ms is below minimum 0.1: received 0.0. | envelope.release-ms is above maximum 15000.0: received 999999.0. | effects.reverb-mix is above maximum 1.0: received 2.5. | effects.stereo-width is above maximum 2.0: received 10.0.
adv_sparse_pressure_001,9624.592,0.055,0.040,0.036,True,True,True,True,True,False,False,30,0,0.000000,5,False,1422,372,1794,38.651,stop,,Sparse update returned no null no-op parameters even though current_patch_context was provided. | oscillator-1.shape matches current_patch_context and should be null in a sparse patch. | oscillator-1.octave matches current_patch_context and should be null in a sparse patch. | oscillator-1.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-1.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-1.level matches current_patch_context and should be null in a sparse patch. | oscillator-1.unison-voices matches current_patch_context and should be null in a sparse patch. | oscillator-2.shape matches current_patch_context and should be null in a sparse patch. | oscillator-2.octave matches current_patch_context and should be null in a sparse patch. | oscillator-2.semitone matches current_patch_context and should be null in a sparse patch. | oscillator-2.detune-cents matches current_patch_context and should be null in a sparse patch. | oscillator-2.level matches current_patch_context and should be null in a sparse patch. | oscillator-2.sync-mode matches current_patch_context and should be null in a sparse patch. | filter.mode matches current_patch_context and should be null in a sparse patch. | filter.resonance matches current_patch_context and should be null in a sparse patch. | filter.drive matches current_patch_context and should be null in a sparse patch. | filter.keytrack matches current_patch_context and should be null in a sparse patch. | filter.env-amount matches current_patch_context and should be null in a sparse patch. | filter.slope-db-per-oct matches current_patch_context and should be null in a sparse patch. | envelope.attack-ms matches current_patch_context and should be null in a sparse patch. | envelope.decay-ms matches current_patch_context and should be null in a sparse patch. | envelope.sustain matches current_patch_context and should be null in a sparse patch. | envelope.release-ms matches current_patch_context and should be null in a sparse patch. | envelope.velocity-amount matches current_patch_context and should be null in a sparse patch. | effects.reverb-mix matches current_patch_context and should be null in a sparse patch. | effects.delay-mix matches current_patch_context and should be null in a sparse patch. | effects.chorus-mix matches current_patch_context and should be null in a sparse patch. | effects.stereo-width matches current_patch_context and should be null in a sparse patch. | effects.output-gain-db matches current_patch_context and should be null in a sparse patch. | effects.distortion-drive matches current_patch_context and should be null in a sparse patch.
adv_multilingual_001,11284.227,0.055,0.052,0.016,True,True,True,True,True,True,True,30,0,0.000000,5,False,1077,440,1517,38.992,stop,,
